序号,景区名称,星级,地址
6,长春北湖国家湿地公园,4,长春市高新北区龙湖大路与环湖路交汇
7,长春孔子文化园,4,长春市南关区东天街239号
9,庙香山休闲旅游度假区,4,九台市波泥河镇
20,石头口门水库国家水利风景区,3,九台市西营城镇
21,八台岭古驿村落景区,3,九台市沐石河镇桦树村七社
24,缘山湖生态园,3,双阳区鹿乡镇石灰村11社
25,金穗山庄,3,九台市土们岭镇
26,长春天下一家生态养生村,3,莲花山生态旅游度假区劝农山镇
27,财福林休闲度假村,2,九台市沐石河镇卢家村
30,吉林省农民收藏博物馆,2,九台市其塔木镇刘家村
31,绿岛生存旅游岛,2,九台市土们岭镇
32,绿野湖畔度假村,2,九台市九德公路12公里
34,桃山梨园,2,九台市城子街镇桃山村
35,明达山庄,2,九台市卡伦镇任家村
40,长春龙福缘田园观光旅游度假村,1,九台市龙家镇草城村三社
